canal,angle,url,objectif,kpi_principal
TikTok organique,A vendre mieux,/?utm_source=tiktok&utm_medium=organic&utm_campaign=vinted_sellers_test&utm_content=angle_a_post_01,Tester l'accroche vendre mieux,Clics landing
TikTok organique,B estimer prix,/?utm_source=tiktok&utm_medium=organic&utm_campaign=vinted_sellers_test&utm_content=angle_b_post_01,Tester le besoin d'estimation,Leads
Instagram Reels,A vendre mieux,/?utm_source=instagram&utm_medium=organic&utm_campaign=vinted_sellers_test&utm_content=angle_a_reel_01,Comparer Instagram a TikTok,Clics landing
Instagram Reels,C vendre utile,/?utm_source=instagram&utm_medium=organic&utm_campaign=vinted_sellers_test&utm_content=angle_c_reel_01,Tester l'impact sportif,Commentaires qualifiees
Facebook groupe,A vendre mieux,/?utm_source=facebook_group&utm_medium=community&utm_campaign=vinted_sellers_test&utm_content=angle_a_post_01,Tester les communautes seconde main,Leads
Facebook groupe,B estimer prix,/?utm_source=facebook_group&utm_medium=community&utm_campaign=vinted_sellers_test&utm_content=angle_b_post_01,Tester la discussion prix,Commentaires utiles
Micro-createur,C vendre utile,/?utm_source=creator_slug&utm_medium=creator&utm_campaign=vinted_sellers_test&utm_content=angle_c_story_01,Tester la recommandation createur,Leads
Commentaires publics,A vendre mieux,/?utm_source=comments&utm_medium=comment&utm_campaign=vinted_sellers_test&utm_content=angle_a_reply_01,Tester l'aide en contexte,Clics landing
Email opt-in,B estimer prix,/?utm_source=email&utm_medium=optin&utm_campaign=vinted_sellers_test&utm_content=qualification_j2,Qualifier les inscrits,Reponses
Email opt-in,MVP invite,/?utm_source=email&utm_medium=optin&utm_campaign=vinted_sellers_test&utm_content=mvp_invite_j7,Tester l'interet MVP,Clics MVP
